Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Change & Internal Communications Manager,54600,4000,GBP,United Kingdom,Unknown,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary
25-34,Nonprofits,Program Manager,62000,3000,USD,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,USD,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman
25-34,Publishing,Publishing Assistant,33000,2000,USD,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Computing or Tech,Systems Analyst,112000,10000,USD,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,USD,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Nonprofits,Office Manager,47500,0,USD,United States,Unknown,"Boston, MA",5-7 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,USD,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man
25-34,Law,Legal Aid Staff Attorney,52000,0,USD,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,Unknown,Woman
35-44,Utilities & Telecommunications,Quality And Compliance Specialist,24000,500,GBP,United Kingdom ,Unknown,Lincoln,11 - 20 years,5-7 years,College degree,Man
35-44,Business or Consulting,Executive Assistant,85000,5000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman
35-44,Business or Consulting,Senior Manager,98000,1000,USD,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Data Programmer Analyst,74000,0,USD,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman
35-44,Government and Public Administration,Researcher,96000,1000,USD,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Public Library,Teen Librarian ,44500,0,USD,United States,Florida,Bradenton,5-7 years,2 - 4 years,Unknown,Woman
35-44,Education (Higher Education),Communications Specialist,60000,0,USD,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman
35-44,Law,Bookkeeper/Billing Manager,48000,4000,USD,United States,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Media & Digital,Editor,125000,0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000,USD,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Senior IRB Analyst,68000,0,USD,United States,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman
18-24,Media & Digital,Reporter,41000,100,USD,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,10000,USD,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman
35-44,Government and Public Administration,Staff Services Manager II,78000,0,USD,United States,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Receptionist,37000,0,USD,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Engineering or Manufacturing,Lead Engineer,100000,50000,USD,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Marketing, Advertising & PR",Senior Copywriter,35000,6000,GBP,United Kingdom,Unknown,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0,USD,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Man
25-34,Computing or Tech,Principal Software Engineer,187500,5000,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Intelligence Analyst,110000,20000,USD,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man
25-34,Nonprofits,Project Manager,66625,1500,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
