City,Industry,Average_Salary
NULL,"Accounting, Banking & Finance",38000.0000
" Berkley Heights ","Recruitment or HR",90000.0000
" Chicago","Accounting, Banking & Finance",130000.0000
" Chicago",Insurance,66100.0000
" Chicago ","Computing or Tech",186000.0000
" Rural Florida Panhandle","Education (Higher Education)",33280.0000
" Ventura ",Law,48800.0000
"A city small enough to not answer this question","Business or Consulting",103000.0000
"A large city","Government and Public Administration",103000.0000
"A small city","Accounting, Banking & Finance",70000.0000
"a small city","Education (Higher Education)",65386.0000
"A very large city","Government and Public Administration",130000.0000
Aachen,"Computing or Tech",61000.0000
Abbotsford,Law,95000.0000
Aberdeen,"Computing or Tech",40300.0000
Aberdeen,"Engineering or Manufacturing",53000.0000
Aberdeen,"Government and Public Administration",70473.0000
Aberdeen,"Health care",34000.0000
Aberdeen,Nonprofits,22200.0000
Aberdeen,"Oil and Gas",51000.0000
Aberdeen,Sales,40000.0000
"Aberdeen ","Utilities & Telecommunications",27600.0000
Abidjan,Energy,67500.0000
Abilene,"Health care",50000.0000
Abilene,manufacturing,95000.0000
"Abington ","Health care",43000.0000
"Abington, PA","Health care",56000.0000
Accra,Nonprofits,82583.0000
Adairsville,"Engineering or Manufacturing",45760.0000
Addis,"Engineering or Manufacturing",86000.0000
Addison,"Computing or Tech",145000.0000
Adelaide,"Agriculture or Forestry",50768.0000
Adelaide,"Computing or Tech",133500.0000
Adelaide,"Education (Higher Education)",82000.0000
Adelaide,"Education (Primary/Secondary)",82546.5000
Adelaide,"Engineering or Manufacturing",103000.0000
Adelaide,"Government and Public Administration",90000.0000
Adelaide,"Health care",79000.0000
Adelaide,Law,85000.0000
Adelaide,"Media & Digital",120000.0000
Adelaide,Nonprofits,65000.0000
Adelaide,Retail,72000.0000
Adelaide,"Science/Biotech ",65000.0000
"Adelaide ",Nonprofits,68816.0000
"Affluent Chicago suburb","Computing or Tech",140000.0000
Agawam,"Education (Primary/Secondary)",20000.0000
Agawam,Nonprofits,95000.0000
Aguadilla,Sales,16000.0000
Aiken,"Cultural Resources Management/Major Univ.",30000.0000
Aiken,"Engineering or Manufacturing",223000.0000
Aiken,Retail,29120.0000
"Ainsworth ","Health care",33800.0000
Akron,"Accounting, Banking & Finance",66000.0000
Akron,"Computing or Tech",85500.0000
Akron,"Engineering or Manufacturing",86000.0000
Akron,"Government and Public Administration",53017.6667
Akron,"Health care",49920.0000
Akron,Nonprofits,93000.0000
"Akron, Ohio","Education (Higher Education)",38500.0000
"Al Khobar","Oil & Gas",107045.0000
Alabama,"Art & Design",64000.0000
"Alabama ","Computing or Tech",35000.0000
Alameda,"Beauty/service industry ",72800.0000
Alameda,Biotech,93000.0000
Alameda,"Engineering or Manufacturing",112333.3333
Alamogordo,"Education (Primary/Secondary)",60000.0000
"Alamogordo ",Nonprofits,42000.0000
Albany,"Accounting, Banking & Finance",70000.0000
Albany,"Computing or Tech",69654.5000
Albany,"Education (Higher Education)",56280.0000
Albany,"Education (Primary/Secondary)",35000.0000
Albany,"Engineering or Manufacturing",79784.8000
Albany,"Government and Public Administration",74215.4167
Albany,"Health care",71500.0000
Albany,Law,85500.0000
Albany,"Learning and Development",62000.0000
Albany,Library,60000.0000
Albany,"Marketing, Advertising & PR",106000.0000
Albany,Nonprofits,70750.0000
Albany,"Pharma & Biotech",125760.0000
Albany,"Pharmaceutical research (chemist)",64000.0000
Albany,"Utilities & Telecommunications",60900.0000
"Albany ","Business or Consulting",66250.0000
"Albany-Schenectady-Troy Metro Area","Education (Primary/Secondary)",64000.0000
"Albany, NY","Education (Higher Education)",72000.0000
"Albany, NY","Media & Digital",125000.0000
Albemarle,"Government and Public Administration",62000.0000
Alberta,"Accounting, Banking & Finance",52500.0000
Alberta,"Business or Consulting",80000.0000
Alberta,Retail,55000.0000
Alberta,"Utilities & Telecommunications",54400.0000
Albuquerque,"Accounting, Banking & Finance",72000.0000
Albuquerque,Architecture,60000.0000
Albuquerque,"Business or Consulting",89000.0000
Albuquerque,"Computing or Tech",130000.0000
albuquerque,"Education (Higher Education)",64000.0000
Albuquerque,"Education (Primary/Secondary)",51000.0000
Albuquerque,"Engineering or Manufacturing",106000.0000
Albuquerque,"Government and Public Administration",82118.3333
Albuquerque,"Health care",64070.0000
Albuquerque,Insurance,78833.3333
Albuquerque,Law,58840.0000
Albuquerque,library,49500.0000
Albuquerque,Nonprofits,34000.0000
Albuquerque,"Property or Construction",100000.0000
Albuquerque,Retail,20800.0000
Albuquerque,"Science Research, government",131000.0000
Albuquerque,"Transport or Logistics",90000.0000
"Albuquerque ","Business or Consulting",70000.0000
"Albuquerque ","Engineering or Manufacturing",119666.6667
