JobTitle,Experience_Level,Total_Compensation
" Analyst","8 - 10 years",67800
" Brand Manager","5-7 years",86625
" CAP team","8 - 10 years",36520
" Cloud Architect ","21 - 30 years",182000
" Content Development Specialist","2 - 4 years",63500
" Controller ","8 - 10 years",112000
" Customer Solutions Manager","11 - 20 years",170000
" Foreman","2 - 4 years",22000
" Industrial Hygienist","21 - 30 years",178500
" Program Manager ","21 - 30 years",84000
" Senior DevOps Engineer","11 - 20 years",144100
" Senior Manager","21 - 30 years",1250000
" Technical Systems Administrator","11 - 20 years",60000
" Vendor Manager","21 - 30 years",150000
"3D Animator","5-7 years",50800
"3D Artist","11 - 20 years",81200
"3d artist","8 - 10 years",21000
"3D Character Artist","2 - 4 years",21000
"3D Project Coordinator","11 - 20 years",52000
"3rd line technical analyst","21 - 30 years",53000
"6-8 English as a Second Language Teacher","8 - 10 years",49008
"6th and 7th Grade Math Teacher","5-7 years",38000
"6th Grade ELA/History Teacher","8 - 10 years",51000
"6th grade teacher","5-7 years",58000
"7th grade ESOL Teacher","11 - 20 years",57400
"9-12 grade teacher","11 - 20 years",53900
"911 Dispatcher","11 - 20 years",88000
"A. R supervisor ","11 - 20 years",59000
A/R,"5-7 years",64000
"A/R Analyst","21 - 30 years",92000
"ABA instructional tutor","11 - 20 years",31000
"Academic Administrator","11 - 20 years",54000
"Academic Advising Coordinator","5-7 years",45000
"Academic Advisor","11 - 20 years",269000
"Academic Advisor","21 - 30 years",103000
"Academic Advisor","5-7 years",140750
"Academic Advisor","8 - 10 years",207000
"Academic Advisor ","11 - 20 years",65000
"Academic Advisor 3","11 - 20 years",50000
"Academic advisor and program coordinator","31 - 40 years",56000
"Academic Advisor I","11 - 20 years",38000
"Academic Communications","11 - 20 years",72000
"Academic Coordinator","11 - 20 years",102850
"Academic Coordinator","2 - 4 years",37500
"Academic Counselor","11 - 20 years",36050
"Academic Evaluations Specialist","5-7 years",62000
"Academic librarian","11 - 20 years",125000
"Academic Librarian","2 - 4 years",50
"Academic librarian","5-7 years",65000
"Academic Librarian","8 - 10 years",55000
"Academic Librarian ","11 - 20 years",48000
"academic librarian ","8 - 10 years",60000
"Academic Planner","8 - 10 years",72000
"Academic Services Coord","21 - 30 years",42700
"Academic Services Director","11 - 20 years",100000
"Academic success coach","21 - 30 years",53000
"Academic Success Coach","31 - 40 years",53000
"Academic Support Specialist","11 - 20 years",62400
"ACAT Associate","11 - 20 years",52000
"Access Services Manager","11 - 20 years",52000
"Accessibility Consultant","8 - 10 years",120000
"Accessibility Coordinator","5-7 years",63826
"Accessibility Engineer","2 - 4 years",182000
"Accessibility Engineer II","2 - 4 years",99000
"Accessibility lead","11 - 20 years",153000
"Account Administration Specialist","8 - 10 years",81000
"Account administrator","5-7 years",56500
"Account Administrator ","11 - 20 years",35540
"Account Based Marketing Manager","5-7 years",99000
"Account Coordinator","1 year or less",42000
"Account Coordinator ","2 - 4 years",91000
"Account Developer","2 - 4 years",66500
"Account Development Representative","5-7 years",64520
"Account Director","11 - 20 years",641000
"Account Director","21 - 30 years",147000
"Account Director","5-7 years",90000
"Account Director","8 - 10 years",131000
"Account Director ","11 - 20 years",47500
"Account Executive","11 - 20 years",658300
"Account Executive","2 - 4 years",298200
"Account Executive","5-7 years",787000
"Account Executive","8 - 10 years",818000
"Account executive ","11 - 20 years",623000
"Account Executive ","21 - 30 years",380000
"Account Executive ","5-7 years",212000
"Account Executive - Technology Sales","11 - 20 years",250000
"Account Executive II","11 - 20 years",73200
